Code,Identifier,Information_source,Dataset_reference,Angle_degree,DIST_km,MAXSIZE_um,MINSIZE_um,Burnup_MW_d_kg-1,VIEW,COLOR,FORM,STRUCT,TYPE,DATE_Gamma,Activity_of_95Zr_Bq,STD_of_95Zr_Bq,Activity_of_95Nb_Bq,STD_of_95Nb_Bq,Activity_of_106Ru_Bq,STD_of_106Ru_Bq,Activity_of_125Sb_Bq,STD_of_125Sb_Bq,Activity_of_134Cs_Bq,STD_of_134Cs_Bq,Activity_of_137Cs_Bq,STD_of_137Cs_Bq,Activity_of_144Ce_Bq,STD_of_144Ce_Bq,Activity_of_154Eu_Bq,STD_of_154Eu_Bq,Activity_of_155Eu_Bq,STD_of_155Eu_Bq,Activity_of_54Mn_Bq,STD_of_54Mn_Bq,Activity_of_60Co_Bq,STD_of_60Co_Bq,Activity_of_241Am_Bq,STD_of_241Am_Bq,DATE_Alpha,Total_alpha_activity_Bq,DATE_Beta,Activity_of_90Sr_Bq
1,7_1,UIAR dataset,"Kashparov, 2003",270,0.3,756,427,10.7,,,,,Fuel,14-Apr-99,,,,,,,,,1.86E+02,1.57E+01,3.63E+02,8.20E+00,,,6.50E+00,1.64E+01,1.25E+01,2.14E+01,,,,,4.70E+00,1.22E+01,,,,
2,17_8*,UIAR dataset,"Kashparov, 2003",270,0.3,100,25,10.7,,,,,Fuel,11-Sep-87,5.92E+00,1.11E+00,9.62E+00,7.40E-01,2.15E+02,1.11E+01,3.22E+00,1.67E+00,7.03E+00,7.40E-01,2.41E+01,1.48E+00,1.74E+02,7.40E+00,,,,,,,,,,,09-Mar-88,6.55E-01,,
3,17_9,UIAR dataset,"Kashparov, 2003",270,0.3,232,220,9.84,,,,,Fuel,11-Sep-87,6.29E+00,7.40E-01,1.26E+01,1.11E+00,7.03E+01,7.40E+00,4.07E+00,1.48E+00,8.51E+00,7.40E-01,3.11E+01,1.48E+00,2.33E+02,7.40E+00,,,1.11E+00,7.58E-01,,,8.14E-01,2.22E-01,,,09-Mar-88,1.18E+00,,
4,17_2(1),UIAR dataset,"Kashparov, 2003",270,0.3,366,244,11.6,,,,,Fuel,11-Sep-87,1.78E+01,1.11E+00,3.63E+01,1.48E+00,1.86E+02,1.15E+01,8.51E+00,2.22E+00,3.18E+01,1.48E+00,1.02E+02,2.59E+00,5.62E+02,1.11E+01,,,1.49E+00,1.29E+00,,,,,,,09-Mar-88,1.46E+00,06-Jun-88,7.07E+01
5,17_7,UIAR dataset,"Kashparov, 2003",270,0.3,488,305,11.6,,,,,Fuel,11-Sep-87,8.88E+01,7.40E+00,1.70E+02,7.40E+00,1.11E+03,4.81E+01,5.18E+01,1.11E+01,1.74E+02,7.40E+00,5.40E+02,1.11E+01,3.11E+03,3.70E+01,,,1.63E+01,4.81E+00,,,6.66E+00,1.85E+00,,,,,06-Jun-88,5.03E+02
6,17_3,UIAR dataset,"Kashparov, 2003",270,0.3,1159,549,11.6,,,,,Fuel,11-Sep-87,3.81E+01,2.96E+00,7.77E+01,3.70E+00,4.40E+02,1.85E+01,2.29E+01,6.29E+00,5.92E+01,3.70E+00,1.92E+02,7.40E+00,1.20E+03,2.22E+01,,,3.55E+00,2.92E+00,,,1.30E+01,1.85E+00,,,09-Mar-88,6.62E+00,06-Jun-88,2.45E+02
7,17_4*,UIAR dataset,"Kashparov, 2003",270,0.3,1586,1098,9.84,,,,,Fuel,21-Sep-87,3.15E+02,1.48E+01,6.29E+02,1.11E+01,3.89E+03,1.11E+02,1.52E+02,2.22E+01,4.18E+02,1.11E+01,1.52E+03,1.85E+01,1.07E+04,7.40E+01,2.72E+01,5.92E+00,4.44E+01,1.11E+01,1.92E+01,3.70E+00,5.92E+01,3.70E+00,,,,,,
8,17_2,UIAR dataset,"Kashparov, 2003",270,0.3,73,48,8.94,,,,,Fuel,18-Sep-87,2.85E+01,2.22E+00,5.62E+01,1.85E+00,3.40E+02,1.48E+01,,,7.40E+00,7.40E-01,3.00E+01,1.48E+00,1.20E+03,1.48E+01,3.69E+00,1.33E+00,5.18E+00,1.48E+00,,,,,,,,,06-Jun-88,5.55E+01
9,17_8,UIAR dataset,"Kashparov, 2003",270,0.3,180,140,10.7,,,,,Fuel,18-Sep-87,8.62E+01,2.59E+00,1.89E+02,3.70E+00,4.48E+02,1.85E+01,3.26E+01,3.63E+00,1.07E+01,2.22E+00,3.55E+01,1.85E+00,2.28E+03,1.85E+01,4.44E+00,1.11E+00,2.74E+00,1.78E+00,,,,,,,09-Mar-88,1.40E+01,06-Jun-88,3.96E+01
10,17_6,UIAR dataset,"Kashparov, 2003",270,0.3,550,320,6.26,,,,,Fuel,22-Sep-87,6.96E+03,3.33E+02,1.51E+04,2.59E+02,6.99E+04,1.85E+03,2.29E+03,4.81E+02,8.21E+03,2.22E+02,4.92E+04,3.70E+02,2.15E+05,1.85E+03,7.40E+02,1.48E+02,,,,,,,,,,,,
