Code,Identifier,Date_of_90Sr_measurement,90Sr_exchangeable_form_in_soil_%,Relative_uncertainty_of_90Sr_exchangeable_form_portion_in_soil_%,85Sr_exchangeable_form_in_soil_%,Relative_uncertainty_of_85Sr_exchangeable_form_portion_in_soil_%,90Sr_activity_in_the_FP-associated_form_%,Relative_uncertainty_of_90Sr_activity_in_the_FP-associated_form_%
1,1,28-Jul-95,46,9,82,3,44,9
2,1a,28-Jul-95,61,3,85,3,28,2
3,1b,28-Jul-95,36,3,84,4,57,4
4,2,28-Jul-95,17,4,58,1,70,8
5,2a,28-Jul-95,30,13,85,6,65,15
6,2b,28-Jul-95,36,8,69,2,47,13
7,3,28-Jul-95,44,14,85,2,48,16
8,3a,28-Jul-95,49,3,84,8,41,7
9,4,28-Jul-95,75,3,83,4,9,3
10,4b,25-Oct-96,76,4,79,4,5,2
11,4a,25-Oct-96,78,5,77,8,0,12
12,5,28-Jul-95,78,2,84,3,7,1
13,6,28-Jul-95,83,1,85,2,2,2
14,6a,28-Jul-95,70,4,86,6,19,2
15,6b,25-Oct-96,80,6,84,8,5,12
16,6v,25-Oct-96,80,7,78,8,-2,14
17,7,28-Jul-95,56,3,79,,30,4
18,8,28-Jul-95,26,7,82,2,68,9
19,8a,25-Oct-96,61,1,92,,33,1
20,12,28-Jul-95,77,6,91,1,15,7
21,13,28-Jul-95,66,5,94,2,30,6
22,14,28-Jul-95,60,2,90,2,33,3
23,15,28-Jul-95,65,3,79,2,18,5
24,16,28-Jul-95,70,1,89,2,21,4
25,17,25-Sep-95,50,3,90,2,44,3
26,18,25-Oct-96,68,6,88,3,23,4
27,19,25-Oct-96,44,8,51,1,14,18
28,20,25-Oct-96,49,11,81,4,39,13
29,21,26-Oct-96,60,10,86,,30,11
30,22,26-Oct-96,40,4,89,2,54,5
31,23,26-Oct-96,58,3,82,6,29,5
32,24,26-Oct-96,36,6,89,4,60,7
33,25,26-Oct-96,39,11,82,7,53,14
34,26,26-Oct-96,63,9,78,12,20,17
35,27,26-Oct-96,50,6,85,9,41,10
36,28,26-Oct-96,81,9,78,11,-4,18
37,29,26-Oct-96,77,8,87,10,11,13
38,30,26-Oct-96,77,6,77,11,1,16
39,31,26-Oct-96,73,7,79,8,8,13
40,32,26-Oct-96,78,28,79,7,2,37
41,33,26-Oct-96,70,4,88,8,20,8
42,34,03-Dec-96,67,3,86,7,22,7
43,35,03-Dec-96,66,5,78,8,16,11
44,36,03-Dec-96,59,4,84,7,30,7
45,37,03-Dec-96,66,3,78,8,16,10
46,38,03-Dec-96,76,6,84,8,9,11
47,39,03-Dec-96,89,3,96,7,7,8
48,40,03-Dec-96,79,7,83,8,4,12
49,41,03-Dec-96,81,7,80,8,0,14
50,42,03-Dec-96,85,7,84,8,-2,12
51,43,03-Dec-96,87,4,87,8,0,10
52,44,03-Dec-96,70,1,79,1,12,2
53,45,03-Dec-96,59,3,86,7,32,6
54,46,03-Dec-96,15,,68,2,78,1
55,47,03-Dec-96,92,2,88,7,-5,8
56,48,03-Dec-96,87,9,93,6,7,12
57,49,03-Dec-96,71,4,87,7,18,7
58,50,03-Dec-96,71,5,85,8,16,10
59,51,03-Dec-96,73,4,83,7,12,9
60,52,03-Dec-96,71,7,76,10,7,15
61,53,03-Dec-96,70,4,92,1,25,3
62,54,03-Dec-96,74,5,78,7,6,11
63,55,03-Dec-96,78,5,87,8,11,10
64,56,03-Dec-96,75,24,92,6,19,27
65,57,03-Dec-96,43,8,80,1,47,10
66,58,03-Dec-96,64,8,79,7,20,12
67,59,03-Dec-96,53,4,74,,28,5
68,60,03-Dec-96,74,18,78,7,6,25
69,61,03-Dec-96,67,46,82,8,18,57
70,62,03-Dec-96,79,6,86,7,8,10
71,63,03-Dec-96,84,2,84,6,0,7
72,64,03-Dec-96,86,2,83,8,-4,10
73,65,03-Dec-96,85,6,90,6,6,10
74,66,03-Dec-96,26,4,53,2,52,7
75,67,03-Dec-96,86,9,77,8,-11,16
76,68,03-Dec-96,76,5,83,8,8,11
77,69,03-Dec-96,88,8,89,7,1,12
78,70,03-Dec-96,70,5,83,6,15,9
79,71,03-Dec-96,67,10,83,7,19,14
80,72,03-Dec-96,69,7,71,8,2,14
81,73,03-Dec-96,69,5,88,6,22,7
82,74,03-Dec-96,81,4,77,7,-5,11
83,75,03-Dec-96,12,2,88,,86,2
84,76,03-Dec-96,83,6,79,9,-4,14
85,77,03-Dec-96,80,4,83,6,4,2
86,78,03-Dec-96,63,6,85,9,26,10
87,79,03-Dec-96,61,2,89,4,32,5
88,80,03-Dec-96,60,2,78,1,23,2
89,81,03-Dec-96,68,8,83,1,18,9
90,82,03-Dec-96,71,4,84,1,15,6
91,83,03-Dec-96,78,1,85,5,9,10
92,84,03-Dec-96,72,1,71,1,0,2
93,85,03-Dec-96,22,10,46,,53,23
94,86,03-Dec-96,42,5,84,1,50,6
95,87,03-Dec-96,58,1,81,2,29,3
96,88,03-Dec-96,67,4,83,8,19,9
97,89,03-Dec-96,80,7,90,7,12,11
98,90,03-Dec-96,78,7,84,8,6,12
99,91,03-Dec-96,87,12,86,8,-2,16
100,92,03-Dec-96,79,6,87,8,10,10
101,93,03-Dec-96,84,8,87,9,3,14
102,94,03-Dec-96,76,10,88,8,14,14
103,95,03-Dec-96,83,7,87,8,4,11
104,96,03-Dec-96,85,5,90,7,6,10
105,97,03-Dec-96,83,5,88,8,6,10
106,98,03-Dec-96,78,10,83,8,6,15
107,99,03-Dec-96,82,11,87,8,6,15
108,100,03-Dec-96,61,1,62,2,2,3
109,101,03-Dec-96,73,5,87,9,16,10
110,102,05-May-97,30,5,71,2,59,6
111,103,05-May-97,60,5,76,1,21,6
112,104,05-May-97,45,14,82,2,46,18
113,105,05-May-97,30,3,73,4,60,6
114,106,05-May-97,36,3,75,2,52,3
115,107,05-May-97,30,2,74,2,59,4
