Code,latitude,longitude,Analysis_type_1_or_2,at_0.1m,at_1m,Sampling_site_description
1,51.160815,29.852414,2,0.1,0.09,forest
2,51.151827,29.838133,2,0.09,0.09,old field
3,51.151827,29.852412,2,0.1,0.09,old field
4,51.151183,29.86728,1,0.11,0.09,forest
5,51.151822,29.880973,2,0.11,0.1,forest
6,51.142829,29.852414,2,0.11,0.1,forest
7,51.14306,29.85566,1,0.11,0.1,forest
8,51.142835,29.861932,2,0.11,0.1,field
9,51.142829,29.866694,2,0.11,0.11,field
10,51.142829,29.880973,2,0.12,0.1,old field
11,51.139837,29.861932,2,0.1,0.1,field
12,51.13967,29.86646,1,0.1,0.1,field
13,51.139837,29.87145,2,0.11,0.09,field
14,51.136839,29.86669,2,0.1,0.09,field
15,51.136839,29.87145,2,0.1,0.09,old field
16,51.136839,29.87621,2,0.11,0.1,old field
17,51.133842,29.852412,2,0.11,0.11,forest
18,51.133835,29.866694,2,0.11,0.1,field
19,51.133842,29.87145,2,0.1,0.09,old field
20,51.133842,29.87621,2,0.1,0.1,field
21,51.133835,29.88057,1,0.1,0.09,field
22,51.133503,29.895709,2,0.12,0.11,old field
23,51.132683,29.909355,2,0.12,0.12,old field
24,51.132917,29.952255,2,0.12,0.1,old field
25,51.133035,30.022914,2,0.13,0.11,old field
26,51.130844,29.88097,2,0.11,0.1,field
27,51.130844,29.87621,2,0.1,0.1,field
28,51.12779,29.90987,2,0.13,0.12,village
29,51.127846,29.914288,2,0.12,0.1,field
30,51.127846,29.919047,2,0.11,0.1,field
31,51.127846,29.923806,2,0.12,0.12,field
32,51.127553,29.928473,2,0.12,0.11,field
33,51.127846,29.933325,2,0.13,0.11,old field
34,51.127846,29.957124,2,0.12,0.12,field
35,51.124848,30.095153,2,0.12,0.11,field
36,51.124069,30.080768,2,0.12,0.12,old field
37,51.123952,30.066375,2,0.12,0.11,old field
38,51.124069,30.053664,2,0.13,0.12,meadow
39,51.125783,30.037053,1,0.11,0.1,forest
40,51.124538,30.022447,2,0.14,0.13,old field
41,51.124842,30.00949,2,0.15,0.13,forest
42,51.124842,29.99521,2,0.14,0.13,forest
43,51.124842,29.98093,2,0.15,0.13,forest
44,51.125124,29.965994,2,0.13,0.13,old field
45,51.12493,29.95222,1,0.12,0.11,field
46,51.124069,29.947582,2,0.12,0.12,field
47,51.124848,29.942845,2,0.11,0.11,village
48,51.12447,29.93698,1,0.11,0.11,field
49,51.1253,29.932534,2,0.12,0.1,field
50,51.1253,29.927861,2,0.12,0.1,field
51,51.1256,29.92359,1,0.12,0.11,field
52,51.125417,29.918982,2,0.11,0.11,field
53,51.12571,29.914683,2,0.12,0.1,field
54,51.12606,29.90969,1,0.11,0.11,field
55,51.124848,29.895249,2,0.12,0.1,old field
56,51.124842,29.880973,2,0.11,0.11,meadow
57,51.12501,29.86512,1,0.1,0.1,field
58,51.124842,29.852414,2,0.11,0.1,old field
59,51.124842,29.838134,2,0.12,0.11,field
60,51.124848,29.828614,2,0.12,0.11,field
61,51.12458,29.82432,1,0.12,0.12,field
62,51.12767,29.83336,1,0.12,0.11,old field
63,51.124842,29.809575,2,0.11,0.1,old field
64,51.124842,29.709618,2,0.1,0.09,forest
65,51.121852,29.819094,2,0.13,0.13,village
66,51.121852,29.852412,2,0.1,0.1,field
67,51.121852,29.857172,2,0.1,0.1,field
68,51.12198,29.86163,1,0.11,0.1,field
69,51.121852,30.019,1,0.13,0.13,old field 
70,51.118854,30.023759,2,0.15,0.13,meadow
71,51.118854,30.019,2,0.17,0.13,field
72,51.11909,30.01489,2,0.17,0.13,field
73,51.118854,29.86669,2,0.12,0.1,old field
74,51.118854,29.861932,2,0.11,0.11,field
75,51.118854,29.857172,2,0.12,0.11,field
76,51.11882,29.85284,1,0.13,0.11,field
77,51.115856,29.695343,2,0.1,0.09,forest
78,51.115849,29.709618,2,0.11,0.1,forest
79,51.115849,29.723898,2,0.11,0.1,forest
80,51.115856,29.728661,2,0.11,0.1,field
81,51.115856,29.733421,2,0.1,0.09,field
82,51.115856,29.738181,2,0.11,0.11,forest
83,51.115849,29.752457,2,0.1,0.1,meadow
84,51.115913,29.765125,2,0.11,0.1,forest
85,51.115849,29.781016,2,0.09,0.09,meadow
86,51.115849,29.795296,2,0.1,0.09,meadow
87,51.116323,29.809426,2,0.11,0.1,old field
88,51.115856,29.823854,2,0.11,0.11,forest
89,51.11474,29.837746,2,0.12,0.11,forest
90,51.115849,29.852414,2,0.13,0.11,field
91,51.116264,29.862701,2,0.13,0.12,field
92,51.11565,29.8666,1,0.14,0.12,field
93,51.115854,29.872234,2,0.12,0.1,field
94,51.115856,29.87621,2,0.1,0.09,field
95,51.11545,29.88094,1,0.1,0.09,field
96,51.115849,29.895253,2,0.12,0.12,old field
97,51.115849,29.909532,2,0.12,0.1,forest
98,51.116323,29.923639,2,0.11,0.11,forest
99,51.116264,29.939621,2,0.11,0.11,forest
100,51.115678,29.951585,2,0.12,0.1,field
101,51.115849,29.966651,2,0.13,0.12,meadow
102,51.115856,29.980922,2,0.14,0.12,field
103,51.116323,29.995139,2,0.14,0.12,meadow
104,51.115849,30.00949,2,0.14,0.13,meadow
105,51.115856,30.018999,2,0.14,0.14,old field 
106,51.116417,30.02203,1,0.16,0.14,old field 
107,51.115856,30.028519,2,0.11,0.11,field
108,51.115856,30.038037,2,0.13,0.12,old field 
109,51.115849,30.052328,2,0.12,0.12,old field
110,51.115856,30.0666,2,0.11,0.11,field
111,51.115856,30.080875,1,0.12,0.11,field
112,51.115849,30.095167,2,0.11,0.1,field
113,51.115856,30.109432,1,0.11,0.11,field
114,51.115849,30.123726,2,0.16,0.14,forest
115,51.11586,30.13847,1,0.14,0.14,forest
116,51.115849,30.209404,1,0.11,0.11,field
117,51.115856,30.223663,2,0.09,0.09,field
118,51.11535,30.27978,2,0.09,0.09,field
119,51.11654,30.28486,1,0.09,0.09,field
120,51.11583,30.29546,2,0.11,0.1,forest
121,51.11642,30.30774,1,0.09,0.09,field
122,51.11334,30.29089,2,0.09,0.09,field
123,51.11333,30.28531,2,0.09,0.08,field
124,51.11301,30.28076,2,0.09,0.08,field
125,51.11274,30.27656,2,0.09,0.08,field
126,51.11257,30.15238,2,0.11,0.1,forest
127,51.11399,30.14742,1,0.11,0.11,farm
128,51.11214,30.14361,2,0.12,0.11,field
129,51.112858,30.137991,2,0.14,0.13,forest
130,51.11241,30.13295,2,0.11,0.11,old field
131,51.11288,30.01851,1,0.16,0.14,old field 
132,51.112858,29.88097,2,0.11,0.11,old field
133,51.112858,29.86669,2,0.11,0.1,field
134,51.112858,29.742941,2,0.1,0.1,field
135,51.112858,29.738181,1,0.1,0.1,field
136,51.112858,29.733421,2,0.09,0.09,field
137,51.11255,29.72871,1,0.1,0.09,field
138,51.109862,29.728661,2,0.11,0.11,field
139,51.109862,29.733421,2,0.11,0.1,field
140,51.109862,29.738181,2,0.1,0.1,old field
141,51.10995,29.74291,1,0.11,0.1,forest
142,51.109862,29.861932,2,0.11,0.1,field
143,51.10995,29.97644,2,0.15,0.13,field
144,51.11037,29.97977,2,0.13,0.13,old field 
145,51.10988,30.01932,2,0.14,0.13,forest
146,51.10919,30.14231,2,0.12,0.12,village
147,51.11028,30.14709,2,0.12,0.11,village
148,51.10953,30.15272,2,0.13,0.1,field
149,51.11006,30.15615,2,0.1,0.1,field
150,51.1098,30.16252,2,0.11,0.09,field
151,51.10971,30.27507,1,0.11,0.11,field
152,51.10974,30.28132,2,0.11,0.1,field
153,51.10977,30.28535,1,0.1,0.1,field
154,51.11007,30.29075,2,0.09,0.09,field
155,51.10672,30.30873,1,0.09,0.09,field
156,51.107,30.29606,1,0.1,0.1,field
157,51.10694,30.28127,2,0.1,0.1,field
158,51.10643,30.2664,1,0.11,0.11,field
159,51.10683,30.25109,1,0.11,0.1,field
160,51.10688,30.23808,2,0.12,0.1,field
161,51.10669,30.22462,1,0.1,0.1,field
162,51.1069,30.21022,1,0.1,0.09,field
163,51.106864,30.195106,2,0.12,0.12,forest
164,51.106864,30.180827,2,0.12,0.11,field
165,51.10703,30.17192,2,0.1,0.1,forest
166,51.10735,30.16653,1,0.1,0.1,field
167,51.106864,30.161788,2,0.12,0.1,field
168,51.10723,30.15733,2,0.11,0.1,field
169,51.1073,30.152575,1,0.1,0.1,field
170,51.106864,30.14751,2,0.12,0.12,village
171,51.106864,30.14275,2,0.12,0.11,field
172,51.10651,30.13886,1,0.14,0.13,field
173,51.106864,30.133231,2,0.12,0.11,village
174,51.106901,30.129276,2,0.12,0.12,old field
175,51.10657,30.12264,1,0.12,0.11,field
176,51.106865,30.109789,1,0.14,0.14,field
177,51.107079,30.095488,1,0.13,0.12,field
178,51.106864,30.080875,1,0.14,0.13,field
179,51.106864,30.066596,2,0.13,0.13,field
180,51.106856,30.052328,2,0.13,0.12,field
181,51.106864,30.038037,2,0.13,0.12,field
182,51.10726,30.02347,2,0.21,0.2,forest
183,51.106856,30.00949,2,0.14,0.11,forest
184,51.10765,29.99459,2,0.13,0.13,field
185,51.10712,29.98087,1,0.14,0.14,village
186,51.106864,29.976163,2,0.1,0.1,meadow
187,51.106864,29.971403,2,0.14,0.12,garden
188,51.10735,29.96643,1,0.13,0.1,field
189,51.107076,29.955287,1,0.11,0.1,field
190,51.106856,29.938092,2,0.12,0.1,forest
191,51.106856,29.923812,2,0.11,0.11,forest
192,51.10574,29.90955,1,0.11,0.1,forest
193,51.10665,29.895221,2,0.12,0.11,forest
194,51.106856,29.880973,2,0.12,0.11,old field
195,51.107182,29.865504,2,0.11,0.11,old field
196,51.106864,29.852412,2,0.11,0.1,field
197,51.106856,29.838134,2,0.11,0.11,old field
198,51.106856,29.823855,2,0.11,0.11,old field
199,51.107005,29.794472,2,0.12,0.1,forest
200,51.106864,29.785777,2,0.1,0.1,forest
201,51.106856,29.781016,2,0.09,0.09,old field
202,51.10689,29.77648,1,0.11,0.1,old field
203,51.106864,29.771498,2,0.1,0.1,field
204,51.106847,29.76659,2,0.1,0.09,old field
205,51.106864,29.761979,2,0.11,0.09,old field
206,51.107109,29.752422,2,0.1,0.1,old field
207,51.106974,29.737864,2,0.11,0.09,forest
208,51.106856,29.723898,2,0.11,0.1,field
209,51.106856,29.709618,2,0.1,0.09,forest
210,51.106864,29.695343,2,0.1,0.1,meadow
211,51.10423,29.76188,1,0.09,0.09,old field
212,51.1041,29.767766,2,0.1,0.1,field
213,51.103866,29.771498,2,0.11,0.09,field
214,51.10392,30.12236,2,0.1,0.1,field
215,51.10377,30.12964,2,0.13,0.12,field
216,51.10431,30.13353,2,0.12,0.11,field
217,51.103866,30.14275,2,0.11,0.1,field
218,51.10444,30.14743,2,0.11,0.1,field
219,51.10396,30.15066,2,0.1,0.1,field
220,51.10387,30.157028,2,0.14,0.13,field
221,51.103866,30.161788,2,0.11,0.1,field
222,51.103866,30.166548,2,0.14,0.14,village
223,51.10385,30.17054,2,0.1,0.1,forest
224,51.10089,30.17108,2,0.14,0.14,forest
225,51.10128,30.166548,2,0.11,0.1,field
226,51.100449,30.14856,2,0.12,0.12,old field
227,51.100868,30.14275,2,0.12,0.11,old field
228,51.100868,29.771498,2,0.11,0.1,field
229,51.100868,29.766738,2,0.1,0.09,village
230,51.100868,29.761979,2,0.11,0.1,field
231,51.100868,29.757219,2,0.1,0.1,village
232,51.097872,29.723902,2,0.11,0.1,old field
233,51.097862,29.738101,1,0.1,0.09,forest
234,51.097862,29.752457,2,0.11,0.1,field
235,51.097872,29.757219,2,0.1,0.09,field
236,51.09808,29.76195,1,0.11,0.11,field
237,51.097862,29.766736,2,0.11,0.1,field
238,51.098832,29.779019,1,0.09,0.09,field
239,51.097862,29.795296,2,0.1,0.1,field
240,51.097862,29.809575,2,0.11,0.09,old field
241,51.098953,29.825965,1,0.08,0.08,field
242,51.097872,29.838133,2,0.12,0.1,old field
243,51.097862,29.852414,2,0.11,0.1,forest
244,51.097862,29.866694,1,0.11,0.1,forest
245,51.097862,29.880973,2,0.1,0.1,old field
246,51.097776,29.89509,2,0.1,0.09,forest
247,51.097862,29.909487,2,0.11,0.1,forest
248,51.096986,29.92448,2,0.11,0.11,forest
249,51.097689,29.93635,2,0.12,0.11,forest
250,51.09713,29.95382,1,0.12,0.1,forest
251,51.097872,29.966644,2,0.12,0.12,forest
252,51.097862,29.98093,2,0.13,0.11,forest
253,51.09827,29.99426,1,0.15,0.15,forest
254,51.097872,30.00948,2,0.14,0.13,forest
255,51.097862,30.023769,1,0.13,0.12,field
256,51.097872,30.038037,2,0.13,0.12,field
257,51.09823,30.05259,2,0.15,0.14,forest
258,51.097872,30.066596,2,0.14,0.12,forest
259,51.09832,30.07888,1,0.11,0.11,field
260,51.097872,30.095153,2,0.14,0.12,old field
261,51.0976,30.10845,2,0.22,0.19,forest
262,51.09823,30.12301,1,0.12,0.12,old field
263,51.097862,30.138006,2,0.12,0.11,old field
264,51.097862,30.15229,2,0.14,0.11,old field
265,51.09777,30.16727,1,0.11,0.11,old field
266,51.09719,30.1802,2,0.16,0.14,forest
267,51.097862,30.195124,2,0.09,0.09,forest
268,51.09787,30.20979,1,0.1,0.1,field
269,51.09777,30.22431,1,0.11,0.1,field
270,51.097423,30.235063,2,0.12,0.11,forest
271,51.098,30.25237,1,0.11,0.11,field
272,51.09788,30.26656,1,0.12,0.12,field
273,51.097862,30.280802,2,0.11,0.1,field
274,51.0983,30.29691,1,0.11,0.1,forest (self-seeding)
275,51.09725,30.30952,2,0.14,0.13,forest
276,51.096486,30.323126,2,0.17,0.15,forest
277,51.094873,29.761979,2,0.11,0.11,forest
278,51.094873,29.757219,2,0.11,0.11,field
279,51.09198,29.75775,1,0.1,0.09,old field
280,51.091875,30.018999,2,0.13,0.11,field
281,51.09116,30.02485,2,0.12,0.1,field
282,51.09238,30.03711,1,0.12,0.12,field
283,51.091875,30.042797,2,0.12,0.12,old field 
284,51.09248,30.04746,2,0.12,0.12,village
285,51.09123,30.05345,1,0.15,0.15,forest
286,51.09241,30.33763,2,0.09,0.09,old field
287,51.088458,30.36635,2,0.09,0.09,forest
288,51.08926,30.33778,1,0.1,0.1,old field
289,51.088869,30.323641,2,0.12,0.12,field
290,51.08871,30.30723,1,0.13,0.12,field
291,51.08875,30.2943,1,0.1,0.1,field
292,51.08902,30.28173,1,0.12,0.12,field
293,51.088877,30.2665,2,0.14,0.12,forest
294,51.08904,30.25095,1,0.19,0.16,forest
295,51.088406,30.237689,2,0.1,0.1,forest
296,51.08882,30.22364,1,0.11,0.1,field
297,51.08878,30.20957,2,0.11,0.1,field
298,51.08912,30.1954,2,0.18,0.18,forest
299,51.08858,30.17918,2,0.12,0.11,forest
300,51.08757,30.16666,2,0.09,0.09,forest
301,51.08942,30.152493,2,0.1,0.1,old field
302,51.089673,30.137587,2,0.1,0.1,old field
303,51.089622,30.123529,2,0.11,0.11,old field
304,51.089491,30.109713,2,0.1,0.1,old field
305,51.088869,30.095167,2,0.12,0.12,field
306,51.088877,30.080875,2,0.12,0.11,meadow
307,51.088869,30.066608,2,0.13,0.12,forest
308,51.088869,30.052328,2,0.14,0.12,old field
309,51.08911,30.04733,2,0.13,0.13,village
310,51.08931,30.042899,2,0.12,0.12,field
311,51.08949,30.0375,1,0.12,0.11,field
312,51.08932,30.03352,2,0.12,0.12,field
313,51.08936,30.02867,2,0.12,0.11,field
314,51.08838,30.02322,1,0.13,0.12,field
315,51.088877,30.018999,2,0.13,0.12,village
316,51.089414,30.009772,1,0.11,0.11,field
317,51.088869,29.99521,2,0.1,0.1,forest
318,51.088869,29.98093,2,0.14,0.13,forest
319,51.088877,29.966644,2,0.12,0.11,forest
