Code,Full_weight_kg,Sample_weight_kg,137Cs_Bq/kg,Relative_uncertainty_137Cs_%,Fraction_90Sr_recovered,Relative_uncertainty_90Sr_recovery_%,90Sr_Bq/kg,Relative_uncertainty_90Sr_%,40K_Bq/kg,Relative_uncertainty_40K_%,226Ra_Bq/kg,Relative_uncertainty_226Ra_%,232Th_Bq/kg,Relative_uncertainty_232Th_%,137Cs_kBq/m2,Relative_uncertainty_137Cs_kBq/m2,90Sr_kBq/m2,Relative_uncertainty_90Sr_kBq/m2,Ratio_Cs:Sr
4,1.639,1.109,7.95E+01,1.00E+01,8.10E-01,4.00E+00,1.75E+01,1.17E+01,1.10E+02,1.60E+01,7.00E+00,2.90E+01,1.00E+01,1.90E+01,2.56E+01,2.56E+00,5.65E+00,6.61E-01,4.53E+00
7,1.88,1.502,4.20E+01,8.00E+00,7.70E-01,4.00E+00,7.66E+00,7.21E+00,1.27E+02,1.30E+01,9.00E+00,2.60E+01,7.00E+00,1.80E+01,1.55E+01,1.24E+00,2.83E+00,2.04E-01,5.48E+00
12,1.76,1.412,1.09E+02,6.00E+00,9.00E-01,4.00E+00,2.49E+01,1.08E+01,1.24E+02,1.30E+01,1.00E+01,2.20E+01,7.00E+00,2.00E+01,3.77E+01,2.26E+00,8.61E+00,9.27E-01,4.38E+00
21,1.721,1.415,9.60E+01,6.00E+00,9.20E-01,4.00E+00,2.72E+01,9.85E+00,1.18E+02,1.50E+01,1.00E+01,2.40E+01,6.00E+00,2.60E+01,3.25E+01,1.95E+00,9.19E+00,9.05E-01,3.53E+00
39,1.45,0.997,3.90E+02,7.00E+00,9.80E-01,4.00E+00,1.65E+02,8.94E+00,1.50E+02,1.40E+01,1.90E+01,3.30E+01,1.20E+01,2.40E+01,1.11E+02,7.78E+00,4.70E+01,4.20E+00,2.37E+00
45,1.415,1.225,9.90E+01,7.00E+00,8.20E-01,4.00E+00,2.23E+01,9.85E+00,1.54E+02,1.30E+01,1.40E+01,2.40E+01,9.00E+00,1.90E+01,2.75E+01,1.93E+00,6.21E+00,6.11E-01,4.44E+00
48,1.853,1.404,3.80E+01,8.00E+00,9.80E-01,4.00E+00,1.33E+01,1.46E+01,1.25E+02,1.30E+01,9.00E+00,2.50E+01,9.00E+00,1.70E+01,1.38E+01,1.11E+00,4.86E+00,7.07E-01,2.85E+00
51,1.771,1.252,1.04E+02,7.00E+00,9.90E-01,4.00E+00,3.60E+01,9.85E+00,2.33E+02,1.10E+01,1.30E+01,2.40E+01,1.40E+01,1.50E+01,3.62E+01,2.53E+00,1.25E+01,1.23E+00,2.89E+00
54,1.596,1.249,1.19E+02,6.00E+00,6.10E-01,4.00E+00,5.94E+01,9.85E+00,2.07E+02,1.10E+01,1.50E+01,2.40E+01,1.20E+01,1.70E+01,3.73E+01,2.24E+00,1.87E+01,1.84E+00,2.00E+00
57,1.836,1.361,6.00E+00,1.60E+01,9.20E-01,4.00E+00,3.04E+00,6.50E+00,3.20E+00,1.10E+01,1.20E+01,1.60E+01,1.40E+01,1.20E+01,2.17E+00,3.46E-01,1.10E+00,7.14E-02,1.97E+00
61,1.638,1.341,5.10E+01,6.00E+00,9.70E-01,4.00E+00,1.44E+01,1.46E+01,1.10E+02,1.00E+01,8.50E+01,1.80E+01,6.60E+00,1.20E+01,1.64E+01,9.85E-01,4.65E+00,6.77E-01,3.53E+00
62,1.736,1.303,1.08E+02,6.00E+00,9.50E-01,4.00E+00,1.82E+01,1.08E+01,1.78E+02,1.10E+01,1.40E+01,2.30E+01,1.10E+01,1.70E+01,3.69E+01,2.21E+00,6.21E+00,6.69E-01,5.93E+00
68,1.435,1.116,1.02E+02,6.00E+00,6.70E-01,4.00E+00,2.87E+01,1.46E+01,1.35E+02,1.40E+01,1.30E+01,2.50E+01,8.00E+00,2.20E+01,2.88E+01,1.73E+00,8.08E+00,1.18E+00,3.56E+00
69,1.748,1.14,3.30E+02,6.00E+00,9.20E-01,4.00E+00,1.74E+02,8.94E+00,2.20E+02,1.20E+01,2.00E+01,3.00E+01,1.20E+01,2.10E+01,1.13E+02,6.80E+00,5.97E+01,5.34E+00,1.90E+00
76,1.77,1.325,7.50E+01,7.00E+00,8.30E-01,4.00E+00,2.45E+01,1.26E+01,2.63E+02,1.00E+01,1.50E+01,2.00E+01,1.50E+01,1.40E+01,2.61E+01,1.83E+00,8.51E+00,1.08E+00,3.07E+00
92,1.719,1.345,8.80E+01,5.00E+00,9.50E-01,4.00E+00,4.83E+01,8.94E+00,1.82E+02,6.00E+00,9.50E+00,8.00E+00,1.10E+01,6.00E+00,2.97E+01,1.49E+00,1.63E+01,1.46E+00,1.82E+00
95,1.892,1.336,8.50E+01,6.50E+00,9.60E-01,4.00E+00,2.46E+01,9.85E+00,1.31E+02,1.30E+01,1.10E+01,2.20E+01,9.00E+00,1.80E+01,3.16E+01,2.05E+00,9.15E+00,9.01E-01,3.45E+00
106,1.438,1.188,3.00E+02,6.00E+00,8.20E-01,4.00E+00,1.35E+02,8.94E+00,1.50E+02,1.10E+01,1.00E+01,3.50E+01,9.00E+00,1.90E+01,8.48E+01,5.09E+00,3.82E+01,3.42E+00,2.22E+00
111,1.689,1.2,1.87E+02,9.00E+00,8.70E-01,4.00E+00,7.11E+01,8.94E+00,1.50E+02,1.30E+01,1.30E+01,2.40E+01,1.00E+01,2.00E+01,6.21E+01,5.59E+00,2.36E+01,2.11E+00,2.63E+00
113,1.661,1.335,1.91E+02,6.00E+00,6.80E-01,4.00E+00,1.37E+01,1.26E+01,1.56E+02,1.30E+01,1.20E+01,3.50E+01,9.00E+00,2.30E+01,6.24E+01,3.74E+00,4.49E+00,5.68E-01,1.39E+01
115,1.502,1.31,2.85E+02,6.00E+00,6.40E-01,4.00E+00,3.52E+01,9.85E+00,1.10E+02,1.50E+01,7.00E+00,4.00E+01,5.00E+00,4.00E+01,8.42E+01,5.05E+00,1.04E+01,1.02E+00,8.11E+00
116,1.475,1.131,1.60E+02,6.00E+00,5.90E-01,4.00E+00,4.65E+01,8.94E+00,2.15E+02,7.00E+00,1.20E+01,1.40E+01,1.10E+01,9.00E+00,4.64E+01,2.78E+00,1.35E+01,1.21E+00,3.44E+00
119,1.42,1.23,2.50E+02,6.00E+00,8.40E-01,4.00E+00,9.46E+01,8.06E+00,8.00E+01,1.50E+01,9.00E+00,3.00E+01,5.00E+00,3.00E+01,6.98E+01,4.19E+00,2.64E+01,2.13E+00,2.64E+00
121,1.607,1.204,1.60E+02,6.00E+00,9.60E-01,4.00E+00,5.33E+01,8.06E+00,8.00E+01,6.00E+00,6.00E+00,1.20E+01,5.00E+00,8.00E+00,5.05E+01,3.03E+00,1.68E+01,1.36E+00,3.00E+00
127,1.662,1.21,8.00E+01,7.00E+00,9.30E-01,4.00E+00,3.09E+01,8.94E+00,1.00E+02,1.70E+01,1.00E+01,2.50E+01,6.00E+00,3.00E+01,2.61E+01,1.83E+00,1.01E+01,9.02E-01,2.59E+00
131,1.72,1.331,1.92E+02,6.00E+00,8.50E-01,4.00E+00,8.55E+01,8.94E+00,9.00E+01,9.00E+00,6.00E+00,2.30E+01,5.00E+00,1.80E+01,6.49E+01,3.90E+00,2.89E+01,2.59E+00,2.24E+00
135,1.589,1.235,4.00E+01,1.20E+01,9.60E-01,4.00E+00,3.85E+00,2.04E+01,6.40E+01,1.80E+01,7.00E+00,2.70E+01,6.00E+00,2.30E+01,1.25E+01,1.50E+00,1.20E+00,2.46E-01,1.04E+01
137,1.443,1.386,2.90E+01,9.00E+00,8.50E-01,4.00E+00,8.59E+00,1.55E+01,9.80E+01,1.60E+01,1.20E+01,2.10E+01,7.00E+00,2.00E+01,8.23E+00,7.40E-01,2.44E+00,3.78E-01,3.38E+00
141,1.188,0.895,5.90E+01,8.00E+00,9.20E-01,5.00E+00,9.02E+00,2.55E+01,9.90E+01,1.80E+01,1.30E+01,2.60E+01,8.50E+00,2.20E+01,1.38E+01,1.10E+00,2.11E+00,5.37E-01,6.54E+00
151,1.397,1.203,1.20E+02,6.00E+00,9.20E-01,4.00E+00,2.81E+01,9.85E+00,1.30E+02,1.50E+01,1.50E+01,3.00E+01,7.00E+00,2.50E+01,3.30E+01,1.98E+00,7.71E+00,7.59E-01,4.28E+00
153,1.505,1.138,1.90E+02,6.00E+00,8.80E-01,4.00E+00,5.19E+01,8.06E+00,1.80E+02,1.40E+01,1.50E+01,2.80E+01,1.20E+01,2.30E+01,5.62E+01,3.37E+00,1.54E+01,1.24E+00,3.66E+00
155,1.639,1.233,1.60E+02,6.00E+00,8.40E-01,4.00E+00,3.36E+01,8.06E+00,2.30E+02,1.20E+01,1.80E+01,2.30E+01,1.30E+01,1.80E+01,5.16E+01,3.09E+00,1.08E+01,8.72E-01,4.77E+00
156,1.448,1.097,1.50E+02,6.00E+00,9.90E-01,4.00E+00,5.33E+01,8.94E+00,2.20E+02,6.00E+00,1.30E+01,7.00E+00,1.20E+01,6.00E+00,4.27E+01,2.56E+00,1.52E+01,1.36E+00,2.81E+00
158,1.501,1.131,1.64E+02,7.00E+00,9.00E-01,4.00E+00,5.09E+01,8.06E+00,1.90E+02,1.30E+01,1.50E+01,2.40E+01,9.00E+00,2.90E+01,4.84E+01,3.39E+00,1.50E+01,1.21E+00,3.22E+00
159,1.488,1.112,1.80E+02,6.00E+00,7.50E-01,4.00E+00,5.33E+01,8.94E+00,3.00E+02,1.00E+01,1.70E+01,2.40E+01,1.50E+01,1.50E+01,5.27E+01,3.16E+00,1.56E+01,1.39E+00,3.38E+00
161,1.411,1.105,2.20E+02,6.00E+00,9.70E-01,4.00E+00,6.65E+01,9.85E+00,3.50E+02,1.00E+01,2.10E+01,2.50E+01,2.00E+01,1.40E+01,6.10E+01,3.66E+00,1.84E+01,1.82E+00,3.31E+00
162,1.561,1.367,1.70E+02,6.00E+00,9.10E-01,4.00E+00,3.58E+01,9.85E+00,1.80E+02,1.20E+01,1.10E+01,2.40E+01,9.00E+00,1.90E+01,5.22E+01,3.13E+00,1.10E+01,1.08E+00,4.75E+00
166,1.822,1.056,2.10E+02,6.00E+00,9.30E-01,4.00E+00,1.00E+02,7.21E+00,2.10E+02,1.10E+01,1.30E+01,2.50E+01,1.30E+01,1.70E+01,7.52E+01,4.51E+00,3.58E+01,2.58E+00,2.10E+00
169,1.533,1.145,1.80E+02,6.00E+00,8.20E-01,4.00E+00,9.56E+01,7.21E+00,2.10E+02,1.10E+01,1.30E+01,2.60E+01,1.00E+01,2.20E+01,5.42E+01,3.25E+00,2.88E+01,2.08E+00,1.88E+00
172,1.427,1.09,2.20E+02,6.00E+00,9.50E-01,4.00E+00,1.25E+02,8.06E+00,1.27E+02,7.00E+00,8.00E+00,1.10E+01,7.00E+00,8.00E+00,6.17E+01,3.70E+00,3.50E+01,2.82E+00,1.76E+00
175,1.506,0.998,2.40E+02,6.00E+00,7.60E-01,4.00E+00,1.09E+02,8.06E+00,2.70E+02,1.20E+01,2.20E+01,2.40E+01,1.80E+01,1.60E+01,7.11E+01,4.26E+00,3.23E+01,2.60E+00,2.20E+00
176,1.424,1.12,2.30E+02,7.00E+00,9.20E-01,4.00E+00,5.64E+01,8.94E+00,3.00E+02,1.20E+01,1.70E+01,2.60E+01,1.60E+01,1.70E+01,6.44E+01,4.51E+00,1.58E+01,1.41E+00,4.08E+00
177,1.44,1.24,1.90E+02,6.00E+00,8.60E-01,4.00E+00,7.12E+01,8.94E+00,2.90E+02,8.00E+00,2.00E+01,1.70E+01,1.60E+01,1.20E+01,5.38E+01,3.23E+00,2.01E+01,1.80E+00,2.67E+00
178,1.69,1.257,1.72E+02,7.00E+00,8.60E-01,4.00E+00,2.71E+01,1.17E+01,2.90E+02,9.00E+00,1.60E+01,1.90E+01,1.50E+01,2.10E+01,5.71E+01,4.00E+00,9.00E+00,1.05E+00,6.35E+00
185,1.562,1.109,1.60E+02,7.00E+00,8.20E-01,4.00E+00,7.57E+01,8.94E+00,2.58E+02,1.00E+01,9.00E+00,4.20E+01,1.20E+01,2.60E+01,4.91E+01,3.44E+00,2.33E+01,2.08E+00,2.11E+00
188,1.859,1.207,1.34E+02,7.00E+00,9.20E-01,4.00E+00,5.75E+01,9.85E+00,1.66E+02,1.40E+01,1.50E+01,2.70E+01,1.00E+01,1.90E+01,4.90E+01,3.43E+00,2.10E+01,2.07E+00,2.33E+00
189,2.015,1.618,9.00E+01,6.00E+00,9.40E-01,4.00E+00,2.63E+01,8.94E+00,9.20E+01,1.60E+01,1.00E+01,2.60E+01,6.00E+00,2.50E+01,3.57E+01,2.14E+00,1.04E+01,9.31E-01,3.43E+00
192,2.005,1.47,9.10E+01,6.00E+00,8.90E-01,4.00E+00,1.71E+01,1.17E+01,6.70E+01,1.80E+01,9.00E+00,3.00E+01,5.00E+00,2.80E+01,3.59E+01,2.15E+00,6.75E+00,7.90E-01,5.31E+00
202,1.888,1.434,3.40E+01,8.00E+00,9.90E-01,4.00E+00,8.08E+00,2.04E+01,1.45E+02,1.20E+01,1.00E+01,2.10E+01,9.00E+00,1.50E+01,1.26E+01,1.01E+00,3.00E+00,6.12E-01,4.21E+00
211,2.012,1.528,2.60E+01,5.00E+00,8.10E-01,4.00E+00,5.93E+00,1.75E+01,1.08E+02,6.00E+00,6.00E+00,7.00E+00,6.00E+00,6.00E+00,1.03E+01,5.14E-01,2.34E+00,4.09E-01,4.39E+00
233,1.929,1.348,3.90E+01,1.20E+01,9.20E-01,4.00E+00,4.46E+00,1.84E+01,3.00E+01,3.20E+01,8.00E+00,2.40E+01,6.00E+00,2.40E+01,1.48E+01,1.77E+00,1.69E+00,3.12E-01,8.75E+00
236,1.981,1.38,3.50E+01,8.00E+00,9.40E-01,4.00E+00,6.38E+00,3.03E+01,1.47E+02,1.20E+01,1.10E+01,2.20E+01,1.00E+01,1.50E+01,1.36E+01,1.09E+00,2.49E+00,7.52E-01,5.48E+00
238,2.04,1.502,3.30E+01,8.00E+00,9.70E-01,4.00E+00,5.26E+00,3.03E+01,1.29E+02,1.30E+01,1.00E+01,2.20E+01,8.00E+00,1.60E+01,1.32E+01,1.06E+00,2.11E+00,6.38E-01,6.28E+00
241,2.031,1.616,3.40E+01,6.00E+00,8.90E-01,4.00E+00,3.93E+00,4.02E+01,1.00E+02,9.00E+00,7.00E+00,1.60E+01,6.00E+00,1.20E+01,1.36E+01,8.15E-01,1.57E+00,6.31E-01,8.65E+00
244,1.973,1.506,7.30E+01,7.00E+00,8.90E-01,4.00E+00,5.28E+00,3.03E+01,1.11E+02,1.30E+01,8.00E+00,2.50E+01,7.00E+00,1.80E+01,2.83E+01,1.98E+00,2.05E+00,6.20E-01,1.38E+01
250,1.912,1.52,7.70E+01,6.00E+00,7.90E-01,4.00E+00,4.97E+01,1.08E+01,5.30E+01,1.60E+01,7.00E+00,3.10E+01,5.00E+00,2.20E+01,2.89E+01,1.74E+00,1.87E+01,2.01E+00,1.55E+00
253,1.488,1.209,1.90E+02,7.00E+00,9.10E-01,4.00E+00,3.81E+01,9.85E+00,2.26E+02,1.20E+01,1.40E+01,2.30E+01,1.30E+01,1.70E+01,5.56E+01,3.89E+00,1.12E+01,1.10E+00,4.98E+00
255,1.716,1.228,2.33E+02,7.00E+00,8.80E-01,4.00E+00,7.98E+01,8.94E+00,2.49E+02,1.10E+01,1.90E+01,2.30E+01,1.50E+01,1.60E+01,7.86E+01,5.50E+00,2.69E+01,2.41E+00,2.92E+00
259,1.499,1.221,2.19E+02,6.00E+00,4.00E-01,4.00E+00,1.50E+01,9.85E+00,3.00E+02,1.10E+01,1.90E+01,2.60E+01,2.00E+01,1.70E+01,6.45E+01,3.87E+00,4.42E+00,4.35E-01,1.46E+01
262,1.561,1.198,1.90E+02,6.00E+00,8.70E-01,4.00E+00,7.17E+01,7.21E+00,2.80E+02,1.10E+01,1.80E+01,2.50E+01,1.50E+01,1.60E+01,5.83E+01,3.50E+00,2.20E+01,1.59E+00,2.65E+00
265,1.539,1.337,2.00E+02,6.00E+00,9.60E-01,4.00E+00,5.26E+01,7.21E+00,1.60E+02,1.10E+01,1.20E+01,2.40E+01,9.00E+00,2.00E+01,6.05E+01,3.63E+00,1.59E+01,1.15E+00,3.80E+00
268,1.621,1.227,1.40E+02,7.00E+00,9.10E-01,4.00E+00,4.41E+01,8.94E+00,1.40E+02,1.40E+01,1.30E+01,3.00E+01,7.00E+00,2.50E+01,4.46E+01,3.12E+00,1.40E+01,1.26E+00,3.18E+00
269,1.507,1.309,1.24E+02,6.00E+00,7.50E-01,4.00E+00,4.30E+01,8.94E+00,2.10E+02,1.10E+01,1.40E+01,2.20E+01,1.20E+01,1.50E+01,3.67E+01,2.20E+00,1.27E+01,1.14E+00,2.88E+00
271,1.463,1.266,1.50E+02,6.00E+00,5.30E-01,4.00E+00,5.09E+01,8.94E+00,1.80E+02,1.20E+01,2.50E+01,1.60E+01,1.10E+01,2.10E+01,4.31E+01,2.59E+00,1.46E+01,1.31E+00,2.94E+00
272,1.396,1.206,1.70E+02,6.00E+00,6.60E-01,4.00E+00,4.27E+01,1.08E+01,2.60E+02,9.00E+00,1.90E+01,1.70E+01,1.70E+01,1.10E+01,4.67E+01,2.80E+00,1.17E+01,1.26E+00,3.98E+00
274,1.597,1.213,2.20E+02,6.00E+00,9.40E-01,4.00E+00,5.21E+01,8.06E+00,1.70E+02,1.30E+01,1.40E+01,2.50E+01,9.00E+00,2.30E+01,6.91E+01,4.14E+00,1.64E+01,1.32E+00,4.22E+00
279,2.165,1.577,3.30E+01,8.00E+00,9.00E-01,4.00E+00,6.44E+00,2.53E+01,9.60E+01,1.40E+01,8.00E+00,2.40E+01,6.00E+00,1.80E+01,1.40E+01,1.12E+00,2.74E+00,6.94E-01,5.12E+00
282,2.01,1.27,1.56E+02,6.00E+00,9.40E-01,4.00E+00,5.21E+01,9.85E+00,2.46E+02,1.00E+01,1.90E+01,1.80E+01,1.40E+01,1.50E+01,6.16E+01,3.70E+00,2.06E+01,2.03E+00,2.99E+00
285,1.623,1.286,1.40E+02,6.00E+00,8.40E-01,4.00E+00,2.15E+01,1.26E+01,1.16E+02,1.40E+01,8.00E+00,3.20E+01,7.00E+00,2.60E+01,4.47E+01,2.68E+00,6.88E+00,8.70E-01,6.50E+00
288,1.523,1.152,1.62E+02,7.00E+00,9.10E-01,4.00E+00,6.95E+01,7.21E+00,1.90E+02,1.20E+01,1.50E+01,2.20E+01,1.10E+01,1.80E+01,4.85E+01,3.40E+00,2.08E+01,1.50E+00,2.33E+00
290,1.738,1.378,1.28E+02,6.00E+00,9.10E-01,4.00E+00,3.68E+01,8.94E+00,1.00E+02,1.60E+01,6.00E+00,3.80E+01,6.00E+00,2.80E+01,4.37E+01,2.62E+00,1.26E+01,1.13E+00,3.48E+00
291,2.004,1.599,8.60E+01,6.00E+00,8.90E-01,4.00E+00,2.42E+01,1.17E+01,9.90E+01,1.40E+01,8.50E+00,2.70E+01,5.00E+00,2.70E+01,3.39E+01,2.03E+00,9.52E+00,1.11E+00,3.56E+00
292,1.24,1.619,1.54E+02,6.00E+00,9.70E-01,4.00E+00,4.29E+01,9.85E+00,1.31E+02,1.10E+01,1.00E+01,2.30E+01,7.00E+00,2.00E+01,3.75E+01,2.25E+00,1.05E+01,1.03E+00,3.59E+00
294,1.98,1.515,1.47E+02,6.00E+00,9.40E-01,4.00E+00,2.85E+01,1.17E+01,1.31E+02,1.10E+01,1.10E+01,2.50E+01,7.00E+00,1.90E+01,5.72E+01,3.43E+00,1.11E+01,1.30E+00,5.16E+00
296,1.452,1.09,1.86E+02,6.00E+00,9.00E-01,4.00E+00,6.08E+01,8.94E+00,2.90E+02,1.00E+01,2.00E+01,2.00E+01,1.60E+01,1.40E+01,5.31E+01,3.19E+00,1.73E+01,1.55E+00,3.06E+00
311,1.462,1.24,1.90E+02,7.00E+00,8.60E-01,4.00E+00,1.10E+02,4.09E+00,2.30E+02,1.10E+01,1.40E+01,2.50E+01,1.50E+01,1.50E+01,5.46E+01,3.82E+00,3.17E+01,1.30E+00,1.72E+00
314,1.448,1.159,1.92E+02,6.00E+00,9.70E-01,4.00E+00,8.57E+01,8.94E+00,2.90E+02,1.10E+01,2.40E+01,2.00E+01,2.10E+01,1.40E+01,5.47E+01,3.28E+00,2.44E+01,2.18E+00,2.24E+00
316,1.746,1.3,1.44E+02,7.00E+00,8.80E-01,4.00E+00,4.17E+01,9.85E+00,2.20E+02,1.10E+01,1.60E+01,2.40E+01,1.10E+01,1.60E+01,4.94E+01,3.46E+00,1.43E+01,1.41E+00,3.45E+00
